uuid,numAI,numMans,age0Data__hunger0,age0Data__hunger1,age0Data__hunger2,age0Data__hunger3,age0Data__hunger4,age1Data__hunger0,age1Data__hunger1,age1Data__hunger2,age1Data__hunger3,age1Data__hunger4,age2Data__hunger0,age2Data__hunger1,age2Data__hunger2,age2Data__hunger3,age2Data__hunger4,age3Data__hunger0,age3Data__hunger1,age3Data__hunger2,age3Data__hunger3,age3Data__hunger4,age4Data__hunger0,age4Data__hunger1,age4Data__hunger2,age4Data__hunger3,age2Data__hunger4,age0Data__military0,age0Data__military1,age0Data__military2,age0Data__military3,age0Data__military4,age1Data__military0,age1Data__military1,age1Data__military2,age1Data__military3,age1Data__military4,age2Data__military0,age2Data__military1,age2Data__military2,age2Data__military3,age2Data__military4,age3Data__military0,age3Data__military1,age3Data__military2,age3Data__military3,age3Data__military4,age4Data__military0,age4Data__military1,age4Data__military2,age4Data__military3,age4Data__military4,age0Data__population0,age0Data__population1,age0Data__population2,age0Data__population3,age0Data__population4,age1Data__population0,age1Data__population1,age1Data__population2,age1Data__population3,age1Data__population4,age2Data__population0,age2Data__population1,age2Data__population2,age2Data__population3,age2Data__population4,age3Data__population0,age3Data__population1,age3Data__population2,age3Data__population3,age3Data__population4,age4Data__population0,age4Data__population1,age4Data__population2,age4Data__population3,age4Data__population4,age0Data__science0,age0Data__science1,age0Data__science2,age0Data__science3,age0Data__science4,age1Data__science0,age1Data__science1,age1Data__science2,age1Data__science3,age1Data__science4,age2Data__science0,age2Data__science1,age2Data__science2,age2Data__science3,age2Data__science4,age3Data__science0,age3Data__science1,age3Data__science2,age3Data__science3,age3Data__science4,age4Data__science0,age4Data__science1,age4Data__science2,age4Data__science3,age4Data__science4,age0Data__security0,age0Data__security1,age0Data__security2,age0Data__security3,age0Data__security4,age1Data__security0,age1Data__security1,age1Data__security2,age1Data__security3,age1Data__security4,age2Data__security0,age2Data__security1,age2Data__security2,age2Data__security3,age2Data__security4,age3Data__security0,age3Data__security1,age3Data__security2,age3Data__security3,age3Data__security4,age4Data__security0,age4Data__security1,age4Data__security2,age4Data__security3,age4Data__security4,age0Data__time0,age0Data__time1,age0Data__time2,age0Data__time3,age0Data__time4,age1Data__time0,age1Data__time1,age1Data__time2,age1Data__time3,age1Data__time4,age2Data__time0,age2Data__time1,age2Data__time2,age2Data__time3,age2Data__time4,age3Data__time0,age3Data__time1,age3Data__time2,age3Data__time3,age3Data__time4,age4Data__time0,age4Data__time1,age4Data__time2,age4Data__time3,age4Data__time4
6cdd4e0c-b4ee-4614-a126-fe8712a1f607,0,1,0.34,0.46,0.24,0.56,0.24,0.5,0.62,,,,,,,,,,,,,,,,,,,0,0.01,0.01,0,0.1,0.01,0.05,,,,,,,,,,,,,,,,,,,0.154,0.197,0.122,0,0.005,0.109,0.067,,,,,,,,,,,,,,,,,,,0,0.02,0.2,1,0.72,0.6,0.96,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,6.2,42.1,36,10.8,43.3,47.7,37.7,,,,,,,,,,,,,,,,,,
7350dbf1-9efd-4e27-8764-dba3dd77cbea,0,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,,,,,,,,,,,,,,,,,,,,
75d3061b-bdf1-4d2d-a98c-76c779d0564c,0,0,0.575,0.35,0.35,0.2,0.375,,,,,,,,,,,,,,,,,,,,,0.86,0.69,0.3,0.5,0,,,,,,,,,,,,,,,,,,,,,0.243,0.334,0.315,0.082,0.009,,,,,,,,,,,,,,,,,,,,,0.72,0.38,0.2,0.1,0.02,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.8,0.8,,,,,,,,,,,,,,,,,,,,,52.4,52.9,46.8,45.9,49.1,,,,,,,,,,,,,,,,,,,,
797355f7-edc8-44d3-9e43-feed0c46a78e,0,0,0.94,0.86,0.7,0.62,0.8,0.52,,,,,,,,,,,,,,,,,,,,0.94,0.87,0.72,1.14,0.33,0.01,,,,,,,,,,,,,,,,,,,,0.247,0.343,0.336,0.132,0.044,0.118,,,,,,,,,,,,,,,,,,,,0.88,0.74,0.62,0.56,0.02,0.6,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,56.8,57.1,53.5,57.1,35.3,48.4,,,,,,,,,,,,,,,,,,,
7e2a4e97-f548-4575-b697-8105fa3213ff,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.163,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,
803f9136-d124-49f0-9343-8d6eb5ff5b25,0,0,0.9,0.8,0.7,0.56,0.44,0.72,0.6,0.46,0.54,0.7,0.8,0.68,0.5,0.7,0.5,0.54,0.34,0.76,0.58,0.46,0.82,0.7,0.5,0.76,0.48,0.9,0.81,1.01,0.77,0.66,0.36,0.25,0.12,0.2,0,0.3,0.38,0.25,0,0.01,0.1,0.05,0,0,0.2,0.05,0.05,0.01,0,0.1,0.245,0.34,0.435,0.328,0.327,0.461,0.46,0.653,0.777,0.803,0.754,0.948,0.989,0.922,1.002,0.857,0.892,0.889,0.921,1.019,1.046,1.087,1.02,1.047,1.069,0.8,0.62,0.44,1.16,1.32,1.26,1.42,1.54,0.92,0,1.1,1.06,1.3,1.2,1.54,1.24,0.44,0.8,1.28,1.68,1.1,0.88,0.58,0.9,1.08,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,54.6,56.4,56.9,54.6,55.4,52.3,55.3,54.9,45.1,44.8,51.5,55.2,52.9,46.4,51.7,51.2,51.6,47.2,52.5,55.4,33.3,55.3,51.5,49.9,47.3
8c577227-76e3-42ac-a117-873131e8e2ef,0,4,0.9,0.42,0.36,0.34,0.36,0.26,0.24,0.2,0.24,0.22,0.22,0.26,0.28,0.22,0.26,0.22,0.22,0.26,0.66,0.52,0.28,0.28,0.22,0.2,0.22,0.9,0.15,0.3,0,0.01,0.01,0.01,0.01,0.2,0.05,0.3,0.24,0.11,0.1,0.01,0.05,0.3,0,0,0.4,0.05,0,0.05,0.01,0.1,0.245,0.307,0.359,0.205,0.172,0.161,0.135,0.292,0.397,0.335,0.213,0.4,0.441,0.314,0.375,0.093,0.2,0.191,0.187,0.123,0.06,0,0.05,0.081,0.105,0.8,0.02,0.02,1,0.68,0.6,0.96,1.32,1.3,1.36,0.7,0.38,0.62,0.4,0.7,0,0.8,0.8,0.8,0.96,0.58,1.18,0.46,0,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,1,1,0.8,0.6,0.6,0.6,0.4,54.1,32.9,44,40.9,42.1,18.2,45.3,39,38.9,50.7,20.4,48.8,52.9,28.6,43.8,8.8,46.5,38.3,36.1,54.6,50.8,51.1,48,50.5,52.4
9b687c9c-2d83-405c-b1da-eecf3af00b8c,0,1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.169,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,
9ccd9a1b-4ba1-43d6-bcfa-c4239da9addb,0,1,0.52,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,0.226,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,,,,,,,,,,,,,,,,,,,,,,,
9f6c9c97-d6f8-421d-b25f-99f01a2e2fc9,0,1,0.72,0.4,0.14,,,,,,,,,,,,,,,,,,,,,,,0.72,0.31,0.3,,,,,,,,,,,,,,,,,,,,,,,0.236,0.315,0.386,,,,,,,,,,,,,,,,,,,,,,,0.44,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,45.6,46,48.2,,,,,,,,,,,,,,,,,,,,,,
a1f6eb76-fb0f-49fa-96e1-5000a5c77f85,0,1,0.72,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,0.236,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,
af2dbdf7-18b1-4a97-b16f-518e129bff92,0,0,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.27,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.313,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,49.3,41.4,,,,,,,,,,,,,,,,,,,,,,,
af85666b-5aed-4587-9dec-d203d36001a0,0,1,0.78,0.34,0.14,,,,,,,,,,,,,,,,,,,,,,,0.78,0.19,0.3,,,,,,,,,,,,,,,,,,,,,,,0.239,0.309,0.386,,,,,,,,,,,,,,,,,,,,,,,0.56,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,48.3,39.3,51.8,,,,,,,,,,,,,,,,,,,,,,
b1f3482d-8172-4b5e-a86b-568889b38dfa,0,2,0.325,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,0.211,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,
b3ccfe3e-67b0-4999-81dd-af0a45cb4eae,1,2,0.4,0.3,0.24,0.2,0.16,,,,,,,,,,,,,,,,,,,,,0.3,0.01,0.3,0.14,0.05,,,,,,,,,,,,,,,,,,,,,0.215,0.233,0.326,0.223,0.171,,,,,,,,,,,,,,,,,,,,,0,0.02,0.02,1,0.94,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,30.1,31.5,58.6,59,59.4,,,,,,,,,,,,,,,,,,,,
b5f38fd2-b98d-4e6d-9965-fdf5a831d943,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7c5511b-d37e-4a30-a4f4-99e89ac7001f,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd36f52c-b907-48ba-8bd5-06b762f16ffc,1,2,0.82,0.96,0.7,0.84,1,0.2,0.22,0.26,0.22,0.24,0.2,0.24,0.28,0.26,0.24,0.26,0.2,0.22,0.28,0.22,0.2,0.24,0.22,0.28,0.26,0.82,0.43,0.3,0,0.1,0.01,0.05,0.1,0.2,0.2,0.3,0.2,0.05,0.05,0.05,0.05,0.3,0,0.05,0.2,0.05,0,0.05,0.05,0.1,0.241,0.321,0.395,0.22,0.201,0.261,0.249,0.436,0.567,0.461,0.381,0.49,0.499,0.43,0.472,0.331,0.429,0.417,0.377,0.454,0.439,0.326,0.309,0.295,0.316,0.64,0.02,0.02,1,0.96,0.6,0.64,0.72,0.26,0.5,0.9,0.2,0.6,0.66,0.7,0,0.8,0.8,0.8,0.68,0.7,1,0,0.8,0.86,0.6,0.6,0.6,0.8,0.8,1,1,1,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1,1,1,1,0.8,1,1,0.8,50.2,43.9,48.8,33.4,49.9,26.9,52.6,53.9,49,37.9,47,18.6,43,50,35,29.7,43.1,37.4,25,43.9,32,33.4,30.9,39.7,45.1
c54681c6-d304-4dde-96ff-a3e33dd0df96,0,0,0.88,0.72,0.36,0.18,,,,,,,,,,,,,,,,,,,,,,0.88,0.73,0.55,0.71,,,,,,,,,,,,,,,,,,,,,,0.244,0.336,0.412,0.195,,,,,,,,,,,,,,,,,,,,,,0.76,0.46,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,53.8,53.7,43.2,52.4,,,,,,,,,,,,,,,,,,,,,
c68247d0-2669-4756-a36f-faa9a9119906,0,1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,29.4,,,,,,,,,,,,,,,,,,,,,,,,
c7a7b051-73e9-4e73-8473-d0ba40331dd8,0,1,0.65,0.35,0.1,0.7,0.5,0.3,0.325,0.275,0.25,0.275,0.275,0.325,0.275,0.25,0.3,0.25,0.325,0.325,0.275,0.3,0.35,0.25,0.3,0.35,0.325,0.92,0.69,0.79,0.87,0.22,0.01,0.01,0.46,0.4,0.23,0.3,0.32,0.13,0.1,0.01,0.1,0.05,0.2,0,0.2,0.05,0,0.01,0,0.1,0.246,0.334,0.424,0.203,0.175,0.005,0,0.005,0,0,0.005,0.2,0.189,0.124,0.203,0,0.005,0,0.05,0.142,0,0,0,0.05,0.029,0.84,0.38,0.02,0.1,0.4,1.2,1.56,1.96,1.46,1.52,1.9,1.74,1.86,1.82,2,0.98,0,0,0.8,1.08,0.98,1.74,1.32,1.8,2.1,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,0.8,0.8,0.8,0.6,55.1,49.1,51.3,50.3,43,44.6,50.7,45.5,48.7,49.5,50.8,52.9,49.6,50.6,48.5,43.8,40.2,42.4,45.2,52.1,40,54.2,47.7,52.6,50.6
c9d53222-f375-4f1f-ad55-7378744c32e5,1,1,0.94,0.82,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,0.94,0.83,0.01,0.5,,,,,,,,,,,,,,,,,,,,,,0.247,0.341,0.206,0,,,,,,,,,,,,,,,,,,,,,,0.88,0.66,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,56.5,55.2,60,46.2,,,,,,,,,,,,,,,,,,,,,
cbb7877b-8e3d-4f18-bf68-922dbdf9a6d7,1,1,0.62,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.231,0.269,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,40.5,32,,,,,,,,,,,,,,,,,,,,,,,
ceee8519-fa9a-4796-9fa0-d14f41a0e943,0,0,0.94,0.84,0.72,,,,,,,,,,,,,,,,,,,,,,,0.94,0.85,0.74,,,,,,,,,,,,,,,,,,,,,,,0.247,0.342,0.337,,,,,,,,,,,,,,,,,,,,,,,0.88,0.7,0.66,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,57,56.3,55.1,,,,,,,,,,,,,,,,,,,,,,
d7081982-24b7-43f1-bedc-05b75725d0e5,0,0,0.6,0.425,0.1,,,,,,,,,,,,,,,,,,,,,,,0.88,0.65,0.3,,,,,,,,,,,,,,,,,,,,,,,0.244,0.332,0.315,,,,,,,,,,,,,,,,,,,,,,,0.76,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,53.2,49.2,48.1,,,,,,,,,,,,,,,,,,,,,,
d8cc4bea-36b9-4fa3-9c71-59c4c0d7a493,0,0,0.9,0.82,0.7,0.58,0.44,0.06,,,,,,,,,,,,,,,,,,,,0.9,0.83,1.01,1.39,1.35,0.81,,,,,,,,,,,,,,,,,,,,0.245,0.341,0.435,0.229,0.227,0.349,,,,,,,,,,,,,,,,,,,,0.8,0.66,0.44,0.3,0.42,0.6,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,54.1,57.9,55.5,55.2,54.9,51.8,,,,,,,,,,,,,,,,,,,
dc888d28-39f4-4e7a-b55f-c9657d57b729,2,0,0.96,0.88,0.78,0.68,0.6,0.76,0.44,0.48,0.48,0.44,0.44,0.48,0.48,0.4,0.42,0.42,0.42,0.4,0.46,0.48,0.42,0.42,0.46,0.48,0.46,0.96,0.89,0.8,0.6,0.47,0.3,0.1,0.45,0.25,0,0.3,0.2,0.15,0,0.01,0.3,0.05,0,0,0.2,0.05,0,0.05,0,0.1,0.248,0.344,0.34,0.235,0.181,0.22,0.147,0.197,0.227,0.249,0.135,0.299,0.344,0.26,0.317,0.332,0.342,0.291,0.307,0.389,0.444,0.377,0.401,0.436,0.464,0.92,0.78,0.78,1.58,1.44,0.2,0.02,0.4,0.02,0,0.7,0.2,0.6,0.5,0.7,0.8,0,0.8,0.96,1.04,1.02,1.62,0.94,1.38,1.68,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,57.5,57.1,56.4,56.8,57.5,10.3,15.5,43.1,46,49.3,32,37.6,56.4,42.9,42.1,36.4,36.4,35.9,44.3,48,49.2,51.7,48.5,52.6,50.6
deb3b51f-06cf-4b42-94b8-18a78bda4e9c,0,0,0.625,0.525,0.4,0.775,0.675,,,,,,,,,,,,,,,,,,,,,0.9,0.83,0.74,0.94,0.87,,,,,,,,,,,,,,,,,,,,,0.245,0.341,0.337,0.122,0.123,,,,,,,,,,,,,,,,,,,,,0.8,0.66,0.66,0.16,0.4,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.8,0.8,,,,,,,,,,,,,,,,,,,,,54.7,57.6,56.1,46.4,57.1,,,,,,,,,,,,,,,,,,,,
e15f90fd-9609-484f-87ea-e9066efe0305,1,0,0.64,0.54,0.88,0.8,0.72,0.5,0.48,0.46,0.44,0.42,0.38,0.36,0.34,0.32,0.3,0.26,0.24,0.22,0.2,0.18,0.14,0.12,0.1,0.08,0.06,0.64,0.55,0.59,0.35,0.37,0.17,0.25,0.33,0.51,0.69,0.81,0.59,0.47,0.55,0.58,0.58,0.66,0.54,0.57,0.75,0.82,0.9,0.89,0.92,1.15,0.232,0.327,0.414,0.307,0.308,0.447,0.496,0.695,0.844,0.793,0.891,0.88,0.929,0.878,1.027,1.025,0.974,0.998,0.947,1.056,1.164,1.213,1.162,1.211,1.22,0.28,0.1,0.02,1,1.24,1.38,1.36,1.72,1.7,2.16,3.08,3.06,3.04,3.4,3.56,3.06,3.62,4.38,4.74,5.3,5.52,5.5,5.56,5.12,4.98,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,41.7,56.5,53.7,57.4,57,55.9,55.9,60,59.9,60,59.9,60,60,60,59.9,60,59.9,60,60,59.9,59.9,60,60,59.9,60
e44321b6-fe3e-4677-bf3d-122eff23295e,0,1,0.475,0.45,0.625,0.625,0.3,0.3,0.325,0.3,,,,,,,,,,,,,,,,,,0.78,0.23,0.3,0,0,0.01,0.1,0.45,,,,,,,,,,,,,,,,,,0.239,0.311,0.365,0.184,0.108,0.005,0.005,0.005,,,,,,,,,,,,,,,,,,0.56,0.02,0.02,1,0.54,1.26,1.24,1.12,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.8,0.8,1,1,1,,,,,,,,,,,,,,,,,,48.8,41,43.5,31.7,48.9,24.8,35.6,48.2,,,,,,,,,,,,,,,,,
e4a70a2f-fe80-4721-a014-74471da03c62,1,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.133,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
e510f626-26fc-4ae3-a95f-ed1dbe0d9138,0,0,0.74,0.32,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.15,,,,,,,,,,,,,,,,,,,,,,,,0.237,0.307,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,46.6,40.1,,,,,,,,,,,,,,,,,,,,,,,
e8c89e1d-6ede-4520-9f77-1025a19fbf27,0,1,0.68,0.26,0.04,,,,,,,,,,,,,,,,,,,,,,,0.68,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,0.234,0.287,0.257,,,,,,,,,,,,,,,,,,,,,,,0.36,0.02,0.2,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,44,35.4,50.9,,,,,,,,,,,,,,,,,,,,,,
f49c3f1b-c992-4cdc-bcf2-fbcc2629af77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb4c2aa5-a92e-4aec-a723-a9facf1c2ac0,0,1,0.9,0.72,0.52,0.58,0.4,,,,,,,,,,,,,,,,,,,,,0.9,0.73,0.3,0.5,0.1,,,,,,,,,,,,,,,,,,,,,0.245,0.336,0.323,0.051,0.031,,,,,,,,,,,,,,,,,,,,,0.8,0.46,0.02,0.1,0.4,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,54.5,52.1,11.9,34.3,47.6,,,,,,,,,,,,,,,,,,,,
fcef7c51-30af-4830-9c9b-8bc4190f20b9,0,1,0.5,0.4,0.525,0.425,0.45,,,,,,,,,,,,,,,,,,,,,0.8,0.53,0.47,0.5,0.01,,,,,,,,,,,,,,,,,,,,,0.24,0.326,0.408,0.165,0.145,,,,,,,,,,,,,,,,,,,,,0.6,0.06,0.02,0.1,0.4,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.8,0.8,,,,,,,,,,,,,,,,,,,,,50.1,48.1,51.4,43.6,48.3,,,,,,,,,,,,,,,,,,,,
