"|","|__ageData__hunger","|__ageData__military","|__ageData__population","|__ageData__science","|__ageData__security","|__ageData__time","|__numAI","|__numMans"
"009863a5-900a-4dd6-bcb1-6bb5821b1296","0.78","0.78","0.239","0.56","0.6","48.49999999999984","0","0"
"","0.14","0.01","0.284","0.02","0.6","29.199999999999562","",""
"0414a0e7-cf55-40cc-b2c6-def32ac90329","","","","","","","0","0"
"07347659-1ff5-4d74-ade2-98302be1c3b6","0.34","0.18","0.209","0","0.6","28.899999999999558","0","0"
"0ee4afb2-97c3-4372-95f6-45d9652fb1ce","0.84","0.84","0.242","0.68","0.6","51.59999999999988","0","0"
"","0.6","0.61","0.33","0.22","0.6","49.49999999999985","",""
"","1","0.34","0.317","0.2","0.6","51.899999999999885","",""
"","0.92","0.76","0.113","0.14","0.6","57.39999999999996","",""
"","0.78","0.51","0.053","0.02","0.6","54.49999999999992","",""
"1355814f-bd43-42a7-bb5b-2506bb04d51b","0.82","0.82","0.241","0.64","0.6","50.599999999999866","1","0"
"","0.76","0.77","0.338","0.54","0.6","58.79999999999998","",""
"","0.72","0.74","0.337","0.66","0.6","59.19999999999999","",""
"","0.68","1.2","0.135","0.68","0.6","59.09999999999999","",""
"","0.64","1.26","0.138","1","0.6","59.19999999999999","",""
"","0.6","1.12","0.081","1.92","0.6","57.39999999999996","",""
"","0.68","1.2","0.13","1.9","0.6","57.39999999999996","",""
"","0.76","1.28","0.329","2.26","0.6","60","",""
"","0.84","1.46","0.478","2.24","0.6","59.9","",""
"","0.92","1.64","0.427","2.7","0.8","60","",""
"","1.08","1.76","0.525","3.62","0.8","59.9","",""
"","1.16","1.54","0.514","3.6","0.8","60","",""
"","1.24","1.42","0.563","3.58","0.8","60","",""
"","1.32","1.5","0.512","3.94","0.8","60","",""
"","1.4","1.53","0.661","4.1","0.8","59.9","",""
"","1.56","1.53","0.659","3.6","0.8","60","",""
"","1.64","1.61","0.608","4.16","0.8","59.9","",""
"","1.72","1.49","0.632","4.92","0.6","60","",""
"","1.8","1.52","0.581","5.28","0.6","60","",""
"","1.88","1.7","0.69","5.84","0.6","59.9","",""
"","2.04","1.77","0.798","6.06","0.4","60","",""
"","2.12","1.85","0.847","6.04","0.4","59.9","",""
"","2.2","1.84","0.796","6.1","0.4","60","",""
"","2.28","1.87","0.845","5.66","0.4","60","",""
"","2.36","2.1","0.854","5.52","0.4","59.9","",""
"","2.5","1.58","0","5.38","0.4","59.9","",""
"","2.5","1.58","0","5.38","0.4","59.9","",""
"149b8a26-dbbc-457e-87dd-cd1fdababb47","0.76","0.76","0.238","0.52","0.6","47.29999999999982","0","0"
"","0.44","0.39","0.319","0.02","0.6","45.09999999999979","",""
"15f6f984-0bf5-4556-a74c-08663702a6cf","0.425","0.74","0.237","0.48","0.6","46.0999999999998","0","1"
"1747423a-942a-49c5-b6d2-244c5bf68b40","0.6","0.88","0.244","0.76","0.6","53.0999999999999","0","0"
"","0.35","0.59","0.329","0.18","0.6","46.59999999999981","",""
"","0.35","0.3","0.392","0.02","0.6","41.59999999999974","",""
"","0.325","0.5","0.153","0.1","0.8","45.29999999999979","",""
"","0.275","0.09","0.137","0.4","0.8","49.89999999999986","",""
"1c35dc1f-b43f-41b8-8c39-b9e571515226","0.82","0.82","0.241","0.64","0.6","50.89999999999987","0","1"
"","0.72","0.73","0.336","0.46","0.6","56.29999999999995","",""
"","0.06","0.3","0.374","0.02","0.6","28.499999999999552","",""
"1df056db-e74d-4bf9-96da-c44b19206010","0.5","0.8","0.191","0.6","0.6","49.29999999999985","0","0"
"","0.075","0.43","0.272","0.02","0.6","44.39999999999978","",""
"1f54b12e-f45a-4d5c-bf45-e45d6b549185","0.6","0.88","0.195","0.76","0.6","53.299999999999905","0","1"
"","0.55","0.65","0.283","0.3","0.6","49.19999999999985","",""
"","0.325","0.75","0.373","0.02","0.6","52.09999999999989","",""
"2156677c-1710-46ec-b351-8f882b177319","0.675","0.94","0.247","0.88","0.6","56.099999999999945","1","0"
"","0.825","0.77","0.338","0.54","0.6","52.7999999999999","",""
"","0.7","0.68","0.334","0.54","0.6","56.29999999999995","",""
"","0.525","1.04","0.127","0.36","0.8","54.49999999999992","",""
"","0.375","0.93","0.126","0.52","0.8","55.59999999999994","",""
"","0.35","0.7","0.05","0.28","0.8","42.099999999999746","",""
"","0.725","0.05","0.022","0.4","1","41.59999999999974","",""
"","0.325","0.45","0.1","0.4","1","47.79999999999983","",""
"","0.7","0.25","0.23","0.02","1","46.899999999999814","",""
"","0.525","0","0.267","0","0.8","54.19999999999992","",""
"","0.85","0.3","0.214","1.02","0.8","49.19999999999985","",""
"","0.675","0.36","0.407","0.94","0.8","54.099999999999916","",""
"","0.775","0.19","0.446","1.1","0.8","50.399999999999864","",""
"","0.625","0","0.39","1.36","0.8","55.79999999999994","",""
"","0.85","0.01","0.468","1.66","0.8","50.89999999999987","",""
"","0.85","0.3","0.519","1.52","0.8","51.09999999999987","",""
"","0.525","0.09","0.556","0.6","0.8","48.69999999999984","",""
"","0.9","0","0.556","0.8","0.6","46.79999999999981","",""
"","0.675","0","0.588","1.28","0.6","52.29999999999989","",""
"","0.35","0.2","0.672","1.4","1","48.59999999999984","",""
"","0.675","0.05","0.739","1.62","1","54.099999999999916","",""
"","0.525","0.05","0.78","1.4","1","55.89999999999994","",""
"","0.825","0.01","0.707","0.98","1","48.49999999999984","",""
"","0.625","0","0.742","1.46","1","52.9999999999999","",""
"","0.425","0.1","0.776","1.88","0.8","53.1999999999999","",""
"247b8819-a58e-4c30-ab75-5f86fb15710e","0.94","0.94","0.247","0.88","0.6","56.99999999999996","0","1"
"","0.86","0.87","0.343","0.74","0.6","57.19999999999996","",""
"","0.66","0.68","0.334","0.54","0.6","51.59999999999988","",""
"","0.54","0.46","0.228","1.3","0.8","55.499999999999936","",""
"","0.34","0.21","0.168","0.92","0.8","51.09999999999987","",""
"","0.62","0.01","0.05","0.6","0.8","18.59999999999941","",""
"","0.6","0.05","0.005","0.4","0.8","37.39999999999968","",""
"","0.68","0.1","0.2","0.6","0.8","56.59999999999995","",""
"","0.66","0.2","0.117","0.02","0.8","10.899999999999395","",""
"","0.64","0.2","0","0.5","1","35.699999999999655","",""
"","0.68","0.3","0.05","0.7","1","22.499999999999467","",""
"","0.6","0.2","0.211","0.2","1","37.39999999999968","",""
"","0.68","0.23","0.26","0.76","1","37.39999999999968","",""
"","0.66","0.26","0.209","1.22","1","60","",""
"","0.64","0.29","0.308","1.88","1","60","",""
"","0.6","0.1","0.206","1.42","1","59.9","",""
"","0.68","0.38","0.355","2.18","1","60","",""
"","0.66","0.56","0.304","1.94","1.2","60","",""
"","0.64","0.59","0.353","2.7","1.2","60","",""
"","0.62","0.97","0.302","3.06","1.2","59.9","",""
"","0.68","0.99","0.24","4.08","1.2","60","",""
"","0.66","0.92","0.189","5.04","1","60","",""
"","0.64","0.95","0.238","4.8","1","59.9","",""
"","0.62","0.98","0.287","5.56","1","60","",""
"","0.6","1.06","0.336","6.22","0.8","60","",""
"","0.66","1.12","0.384","7.04","0.8","60","",""
"","0.66","1.12","0.384","7.04","0.8","60","",""
"2712c27f-2228-4db4-ba7e-976cbf2082db","0.04","0","0.169","0","0.6","11.399999999999393","0","1"
"2c0c67a9-ff4f-4805-a7dc-4eb949b6b58a","0.68","0.46","0.223","0","0.6","33.19999999999962","1","0"
"","0.8","0.11","0.305","0.02","0.6","52.7999999999999","",""
"","0.7","0.3","0.395","0.02","0.6","56.099999999999945","",""
"","0.78","0","0.271","1","0.6","50.89999999999987","",""
"","0.66","0.1","0.264","1.2","0.6","55.399999999999935","",""
"","0.26","0.01","0.32","1.5","0.6","16.99999999999939","",""
"","0.84","0.1","0.259","1.48","0.6","5.799999999999413","",""
"","0.44","0.4","0.304","0.68","0.6","31.8999999999996","",""
"","0.44","0.2","0.21","0.02","0.4","1.999999999999417","",""
"","0.34","0.2","0.062","0.5","0.6","26.29999999999952","",""
"39b60fb5-6182-4fa6-a81b-8aeb288ee83e","","","","","","","0","1"
"39df512b-58d0-491e-bee2-fb7c62b7865f","0.65","0.92","0.197","0.84","0.6","55.29999999999993","0","0"
"","0.525","0.83","0.292","0.66","0.6","56.099999999999945","",""
"","0.325","0.97","0.384","0.36","0.6","53.1999999999999","",""
"","0","0.53","0.267","1","0.8","48.399999999999835","",""
"","0.65","0.92","0.197","0.84","0.6","55.29999999999993","",""
"","0.525","0.83","0.292","0.66","0.6","56.099999999999945","",""
"","0.325","0.97","0.384","0.36","0.6","53.1999999999999","",""
"","0","0.53","0.267","1","0.8","48.399999999999835","",""
"3c7371ae-afe5-4d03-b1da-f94cb6965234","0.44","0.38","0.219","0","0.6","31.399999999999594","0","0"
"3e0dba83-3b17-4b39-a1f4-81d262903e82","0","0","0.163","0","0.6","9.099999999999401","0","1"
"","0","0","0.163","0","0.6","9.099999999999401","",""
"3e674164-b0c4-4ccd-ba40-189d61268de3","0.575","0.86","0.194","0.72","0.6","52.699999999999896","0","0"
"","0.375","0.71","0.286","0.42","0.6","53.59999999999991","",""
"","0.225","0.89","0.38","0.2","0.6","55.399999999999935","",""
"","0.075","1.25","0.173","0.1","0.6","55.59999999999994","",""
"49f910af-bf7c-4d20-8e50-7e25e104821f","0.225","0.58","0.229","0.16","0.6","38.7999999999997","0","1"
"50647d09-be91-4713-ab19-fb5b365d7e6b","","","","","","","0","1"
"54992220-1b95-4f62-a243-440c73a30b82","","","","","","","0","0"
"5bfff6e4-3630-4d28-836c-c7e4bb60c450","0.94","0.94","0.247","0.88","0.6","56.29999999999995","0","1"
"","0.8","0.81","0.34","0.62","0.6","54.699999999999925","",""
"","0.36","0.55","0.412","0.02","0.6","39.59999999999971","",""
"","0.64","0.83","0.201","0.1","0.6","55.79999999999994","",""
"","0.56","0.68","0.146","0.02","0.6","57.29999999999996","",""
"","0.24","0.3","0.192","0.2","0.6","30.899999999999586","",""
"","0.2","0.05","0.086","0.4","0.6","19.399999999999423","",""
"","0.16","0.4","0.1","0.4","0.6","11.599999999999392","",""
"5ee653b9-e713-4e36-82b5-d6dcf3f6d92a","0.54","0.54","0.227","0.08","0.6","36.29999999999966","0","1"
"63235804-d900-46fc-9b69-869863039878","0","0.1","0.205","0","0.6","24.8999999999995","0","1"
"","0","0.1","0.205","0","0.6","24.8999999999995","",""
"643b2249-3dc2-4d02-ae84-b99421de4205","0.78","0.78","0.239","0.56","0.6","48.89999999999984","0","0"
"","0.62","0.63","0.331","0.26","0.6","53.999999999999915","",""
"","0.5","0.81","0.425","0.04","0.6","55.09999999999993","",""
"","0.34","1.01","0.21","0.1","0.6","53.79999999999991","",""
"","0.2","0.89","0.204","0.4","0.6","54.099999999999916","",""
"6827d031-d358-4a9c-b194-26e9c4a096c9","","","","","","","0","1"
"6a6e026f-bd73-426b-875b-6398095be32f","0.65","0.92","0.246","0.84","0.6","55.29999999999993","0","0"
"","0.55","0.75","0.337","0.5","0.6","52.39999999999989","",""
"","0.4","0.93","0.431","0.28","0.6","54.99999999999993","",""
"","0.55","1.01","0.21","0.1","0.8","47.39999999999982","",""
"","0.375","0.74","0.149","0.02","0.8","54.799999999999926","",""
"","0.1","0.3","0.05","0.2","1","16.699999999999385","",""
"6cdd4e0c-b4ee-4614-a126-fe8712a1f607","0.34","0","0.154","0","0.6","6.199999999999411","0","1"
"","0.46","0.01","0.197","0.02","0.6","42.099999999999746","",""
"","0.24","0.01","0.122","0.2","0.6","35.99999999999966","",""
"","0.56","0","0","1","0.8","10.799999999999395","",""
"","0.24","0.1","0.005","0.72","0.8","43.29999999999976","",""
"","0.5","0.01","0.109","0.6","0.8","47.699999999999825","",""
"","0.62","0.05","0.067","0.96","0.8","37.69999999999968","",""
"7350dbf1-9efd-4e27-8764-dba3dd77cbea","0.25","0.6","0.23","0.2","0.6","39.49999999999971","0","0"
"75d3061b-bdf1-4d2d-a98c-76c779d0564c","0.575","0.86","0.243","0.72","0.6","52.39999999999989","0","0"
"","0.35","0.69","0.334","0.38","0.6","52.8999999999999","",""
"","0.35","0.3","0.315","0.2","0.6","46.79999999999981","",""
"","0.2","0.5","0.082","0.1","0.8","45.8999999999998","",""
"","0.375","0","0.009","0.02","0.8","49.099999999999845","",""
"797355f7-edc8-44d3-9e43-feed0c46a78e","0.94","0.94","0.247","0.88","0.6","56.799999999999955","0","0"
"","0.86","0.87","0.343","0.74","0.6","57.09999999999996","",""
"","0.7","0.72","0.336","0.62","0.6","53.49999999999991","",""
"","0.62","1.14","0.132","0.56","0.6","57.09999999999996","",""
"","0.8","0.33","0.044","0.02","0.6","35.29999999999965","",""
"","0.52","0.01","0.118","0.6","0.6","48.399999999999835","",""
"7e2a4e97-f548-4575-b697-8105fa3213ff","0","0","0.163","0","0.6","9.999999999999398","0","1"
"","0","0","0.163","0","0.6","9.999999999999398","",""
"803f9136-d124-49f0-9343-8d6eb5ff5b25","0.9","0.9","0.245","0.8","0.6","54.59999999999992","0","0"
"","0.8","0.81","0.34","0.62","0.6","56.39999999999995","",""
"","0.7","1.01","0.435","0.44","0.6","56.899999999999956","",""
"","0.56","0.77","0.328","1.16","0.6","54.59999999999992","",""
"","0.44","0.66","0.327","1.32","0.6","55.399999999999935","",""
"","0.72","0.36","0.461","1.26","0.6","52.29999999999989","",""
"","0.6","0.25","0.46","1.42","0.6","55.29999999999993","",""
"","0.46","0.12","0.653","1.54","0.6","54.89999999999993","",""
"","0.54","0.2","0.777","0.92","0.6","45.09999999999979","",""
"","0.7","0","0.803","0","0.4","44.799999999999784","",""
"","0.8","0.3","0.754","1.1","0.4","51.49999999999988","",""
"","0.68","0.38","0.948","1.06","0.4","55.19999999999993","",""
"","0.5","0.25","0.989","1.3","0.4","52.8999999999999","",""
"","0.7","0","0.922","1.2","0.4","46.39999999999981","",""
"","0.5","0.01","1.002","1.54","0.4","51.69999999999988","",""
"","0.54","0.1","0.857","1.24","0.4","51.199999999999875","",""
"","0.34","0.05","0.892","0.44","0.4","51.59999999999988","",""
"","0.76","0","0.889","0.8","0.2","47.19999999999982","",""
"","0.58","0","0.921","1.28","0.2","52.49999999999989","",""
"","0.46","0.2","1.019","1.68","0.2","55.399999999999935","",""
"","0.82","0.05","1.046","1.1","0.2","33.29999999999962","",""
